internal_entity_id,entity_type,provider_name,provider_entity_id,canonical_key,observed_name,mapping_status,mapping_confidence,model_eligible_identity
60221060-d19a-56b4-99ca-72ddde5125e6,team,football-data.co.uk-legacy,D1:Augsburg,D1:Augsburg,Augsburg,PROBABLE,0.65,False
8cceac47-6f5a-57ed-a4c7-86d245e1f67d,team,football-data.co.uk-legacy,D1:Bayern Munich,D1:Bayern Munich,Bayern Munich,PROBABLE,0.65,False
80339275-c742-5f06-b292-8f6401a2f916,team,football-data.co.uk-legacy,D1:Bielefeld,D1:Bielefeld,Bielefeld,PROBABLE,0.65,False
b99fa842-03ac-5e75-b3cd-90e119e08a1e,team,football-data.co.uk-legacy,D1:Bochum,D1:Bochum,Bochum,PROBABLE,0.65,False
10ecb50f-c0f2-57a0-8404-fb11721bb00e,team,football-data.co.uk-legacy,D1:Darmstadt,D1:Darmstadt,Darmstadt,PROBABLE,0.65,False
2bc8bc69-f987-5fa3-84b7-52e94c0ba711,team,football-data.co.uk-legacy,D1:Dortmund,D1:Dortmund,Dortmund,PROBABLE,0.65,False
887186dc-9ae9-5a51-99a2-fc4eb309fe4b,team,football-data.co.uk-legacy,D1:Ein Frankfurt,D1:Ein Frankfurt,Ein Frankfurt,PROBABLE,0.65,False
b4c94308-5602-5d03-853e-709b262c4072,team,football-data.co.uk-legacy,D1:FC Koln,D1:FC Koln,FC Koln,PROBABLE,0.65,False
5b149e43-c867-534b-a72b-03c4349b650a,team,football-data.co.uk-legacy,D1:Fortuna Dusseldorf,D1:Fortuna Dusseldorf,Fortuna Dusseldorf,PROBABLE,0.65,False
482f7a41-b8ad-59df-9d08-61f2be3a5053,team,football-data.co.uk-legacy,D1:Freiburg,D1:Freiburg,Freiburg,PROBABLE,0.65,False
0f77dfe8-24fe-5a10-b215-029e0647d180,team,football-data.co.uk-legacy,D1:Greuther Furth,D1:Greuther Furth,Greuther Furth,PROBABLE,0.65,False
efa1a1a9-c05f-5261-a49b-34787b9e8ccb,team,football-data.co.uk-legacy,D1:Hamburg,D1:Hamburg,Hamburg,PROBABLE,0.65,False
3979d545-7201-5735-99b2-0f70e985f01d,team,football-data.co.uk-legacy,D1:Hannover,D1:Hannover,Hannover,PROBABLE,0.65,False
e3cf2b31-1152-5c54-b3d6-6968d3f3a3bc,team,football-data.co.uk-legacy,D1:Heidenheim,D1:Heidenheim,Heidenheim,PROBABLE,0.65,False
759ee700-cdba-5a00-9fe6-c84b46024baa,team,football-data.co.uk-legacy,D1:Hertha,D1:Hertha,Hertha,PROBABLE,0.65,False
19479203-7df2-5d45-87a2-3ecd31611358,team,football-data.co.uk-legacy,D1:Hoffenheim,D1:Hoffenheim,Hoffenheim,PROBABLE,0.65,False
3b592970-d74a-54aa-b36a-96158366b21c,team,football-data.co.uk-legacy,D1:Holstein Kiel,D1:Holstein Kiel,Holstein Kiel,PROBABLE,0.65,False
59a78bd8-6ed7-5737-8376-4ef1c41fb99e,team,football-data.co.uk-legacy,D1:Ingolstadt,D1:Ingolstadt,Ingolstadt,PROBABLE,0.65,False
082d8045-a81f-519a-8a8f-376c5c314ebc,team,football-data.co.uk-legacy,D1:Leverkusen,D1:Leverkusen,Leverkusen,PROBABLE,0.65,False
c08d5b6c-5df5-5ca1-88bd-986e6992cd57,team,football-data.co.uk-legacy,D1:M'gladbach,D1:M'gladbach,M'gladbach,PROBABLE,0.65,False
d7c0b76d-2737-52a5-a9c3-b1007dabe74f,team,football-data.co.uk-legacy,D1:Mainz,D1:Mainz,Mainz,PROBABLE,0.65,False
e1884f99-943c-5b35-8c57-055e8fa2b469,team,football-data.co.uk-legacy,D1:Nurnberg,D1:Nurnberg,Nurnberg,PROBABLE,0.65,False
54bb5da8-00b2-5894-b43d-91b90630a9b4,team,football-data.co.uk-legacy,D1:Paderborn,D1:Paderborn,Paderborn,PROBABLE,0.65,False
051b3df5-5bf0-5a60-b92c-8298c3c1a3fd,team,football-data.co.uk-legacy,D1:RB Leipzig,D1:RB Leipzig,RB Leipzig,PROBABLE,0.65,False
2420e4f0-4e1e-5bd5-a3c8-720289cb608c,team,football-data.co.uk-legacy,D1:Schalke 04,D1:Schalke 04,Schalke 04,PROBABLE,0.65,False
9a2a64d1-b129-582e-9fdf-cbb23edc494d,team,football-data.co.uk-legacy,D1:St Pauli,D1:St Pauli,St Pauli,PROBABLE,0.65,False
b636b7d7-fba2-55b4-9106-4c1650ef6ae4,team,football-data.co.uk-legacy,D1:Stuttgart,D1:Stuttgart,Stuttgart,PROBABLE,0.65,False
7d028fe5-80bb-5220-868c-8ca63dca40b9,team,football-data.co.uk-legacy,D1:Union Berlin,D1:Union Berlin,Union Berlin,PROBABLE,0.65,False
eb4690ee-b873-52a1-b53a-111661e177d5,team,football-data.co.uk-legacy,D1:Werder Bremen,D1:Werder Bremen,Werder Bremen,PROBABLE,0.65,False
507dbcd7-9eba-562d-a0cd-99a49923709e,team,football-data.co.uk-legacy,D1:Wolfsburg,D1:Wolfsburg,Wolfsburg,PROBABLE,0.65,False
e2baf18e-c212-51da-8a2b-eb4aaaaf2ac6,team,football-data.co.uk-legacy,E0:Arsenal,E0:Arsenal,Arsenal,PROBABLE,0.65,False
745723e1-07f8-5a1f-aacd-51644403d073,team,football-data.co.uk-legacy,E0:Aston Villa,E0:Aston Villa,Aston Villa,PROBABLE,0.65,False
3d13e3af-61d7-5c03-9f45-36c1d08d0b84,team,football-data.co.uk-legacy,E0:Bournemouth,E0:Bournemouth,Bournemouth,PROBABLE,0.65,False
9b24d3bb-3b25-5030-a377-04c6d28911f3,team,football-data.co.uk-legacy,E0:Brentford,E0:Brentford,Brentford,PROBABLE,0.65,False
9822ab5e-ceae-51e1-a994-bf580ac57620,team,football-data.co.uk-legacy,E0:Brighton,E0:Brighton,Brighton,PROBABLE,0.65,False
a6d31c74-3467-52ed-8d8e-ccff62edd28a,team,football-data.co.uk-legacy,E0:Burnley,E0:Burnley,Burnley,PROBABLE,0.65,False
ded6abfc-0ecd-5044-9027-b5653065ac02,team,football-data.co.uk-legacy,E0:Cardiff,E0:Cardiff,Cardiff,PROBABLE,0.65,False
6934df6c-c23b-5137-83af-ac732ed2fcf1,team,football-data.co.uk-legacy,E0:Chelsea,E0:Chelsea,Chelsea,PROBABLE,0.65,False
eb826a81-e994-5e8a-8db0-1a1da5db1cbb,team,football-data.co.uk-legacy,E0:Crystal Palace,E0:Crystal Palace,Crystal Palace,PROBABLE,0.65,False
08082420-685e-591e-b9bb-d2aaac211a68,team,football-data.co.uk-legacy,E0:Everton,E0:Everton,Everton,PROBABLE,0.65,False
2fcbbbf5-f586-5d00-93bc-3a6273fecfb7,team,football-data.co.uk-legacy,E0:Fulham,E0:Fulham,Fulham,PROBABLE,0.65,False
