provider,competition,season,column,rows,zeros,missing,non_zero,zero_rate,min_value,median_value,max_value,artificial_probability,quality_status,impact
football-data.co.uk,D1,2015-16,hthg,306,149,0,157,0.4869281045751634,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2015-16,htag,306,168,0,138,0.5490196078431373,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2015-16,hy,306,47,0,259,0.15359477124183007,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2015-16,ay,306,33,0,273,0.10784313725490197,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2015-16,hr,306,290,0,16,0.9477124183006536,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2015-16,ar,306,283,0,23,0.9248366013071896,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2015-16,hc,306,4,0,302,0.013071895424836602,0.0,5.0,18.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2015-16,ac,306,10,0,296,0.032679738562091505,0.0,4.0,13.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,hthg,306,139,0,167,0.4542483660130719,0.0,1.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,htag,306,186,0,120,0.6078431372549019,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,hy,306,54,0,252,0.17647058823529413,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,ay,306,36,0,270,0.11764705882352941,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,hr,306,279,0,27,0.9117647058823529,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,ar,306,278,0,28,0.9084967320261438,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,hc,306,8,0,298,0.026143790849673203,0.0,5.0,15.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2016-17,ac,306,11,0,295,0.03594771241830065,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,hthg,306,131,0,175,0.42810457516339867,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,htag,306,191,0,115,0.6241830065359477,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,hy,306,76,0,230,0.24836601307189543,0.0,1.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,ay,306,49,0,257,0.16013071895424835,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,hr,306,284,0,22,0.9281045751633987,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,ar,306,285,0,21,0.9313725490196079,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,hc,306,7,0,299,0.02287581699346405,0.0,5.0,13.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2017-18,ac,306,8,0,298,0.026143790849673203,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,hthg,306,151,0,155,0.4934640522875817,0.0,1.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,htag,306,168,0,138,0.5490196078431373,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,hy,306,66,0,240,0.21568627450980393,0.0,1.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,ay,306,34,0,272,0.1111111111111111,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,hr,306,292,0,14,0.954248366013072,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,ar,306,279,0,27,0.9117647058823529,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,hc,306,7,0,299,0.02287581699346405,0.0,5.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2018-19,ac,306,5,0,301,0.016339869281045753,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,hthg,306,153,0,153,0.5,0.0,0.5,5.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,htag,306,158,0,148,0.5163398692810458,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,hy,306,53,0,253,0.17320261437908496,0.0,2.0,8.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,ay,306,34,0,272,0.1111111111111111,0.0,2.0,6.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,hr,306,286,0,20,0.934640522875817,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,ar,306,273,0,33,0.8921568627450981,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,hc,306,6,0,300,0.0196078431372549,0.0,5.0,19.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2019-20,ac,306,13,0,293,0.042483660130718956,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,hthg,306,161,0,145,0.5261437908496732,0.0,0.0,4.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,htag,306,167,0,139,0.545751633986928,0.0,0.0,3.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,hy,306,49,0,257,0.16013071895424835,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,ay,306,44,0,262,0.1437908496732026,0.0,2.0,7.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,hr,306,293,0,13,0.9575163398692811,0.0,0.0,1.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,ar,306,287,0,19,0.9379084967320261,0.0,0.0,2.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,hc,306,8,0,298,0.026143790849673203,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2020-21,ac,306,4,0,302,0.013071895424836602,0.0,4.0,14.0,0.05,OBSERVED,aucun verrou automatique
football-data.co.uk,D1,2021-22,hthg,306,141,0,165,0.46078431372549017,0.0,1.0,5.0,0.05,OBSERVED,aucun verrou automatique
