marche,etage,n,obs,ref,delta,roi,roi_lo,roi_hi,ic_lo,ic_hi,z,p,saisons_pos,saisons_tot,pct_cloture,statut,id,nom,fdr,verdict
WIN_SELF,2,1872,0.6030982905982906,0.5990513652309964,0.0040469253672941186,-0.020096153846153847,-0.0652773899423908,0.025085082250083095,0.5807453344561242,0.625028969728195,0.3925253434671529,0.69467008940188,6.0,10.0,1.0,,S002,Serie longue de victoires,False,BRUIT
DC_SELF,2*,1872,0.7980769230769231,0.8043602581306419,-0.006283335053718808,,,,0.7792896408508173,0.8156433215059192,-0.7426419833726262,0.4576984633682417,5.0,10.0,1.0,,S002,Serie longue de victoires,False,BRUIT
WIN_SELF,2,579,0.6027633851468048,0.6105762533362219,-0.007812868189417066,-0.07174438687392055,-0.1479329960025004,0.004444222254659291,0.5623539132222808,0.6418181980340194,-0.42485581892157764,0.6709417836220097,3.0,10.0,1.0,,S005,Objectif clair + forme,False,BRUIT
TEAM_O15_SELF,1,580,0.5879310344827586,0.3815359720069113,0.20639506247584732,,,,0.547422185614324,0.6272827343502692,10.33677790802556,0.0,10.0,10.0,,,S005,Objectif clair + forme,True,SIGNAL_E1
WIN_ADV,2,12241,0.4394248835879422,0.440193576134574,-0.0007686925466318106,-0.03149824360754841,-0.05401999114592851,-0.008976496069168307,0.4306528585666706,0.44823491732746595,-0.1833219043992162,0.8545454484045703,4.0,10.0,0.9996732293113307,,S006,Serie negative importante,False,BRUIT
DC_ADV,2*,12241,0.6977371129809656,0.7011616577644472,-0.0034245447834815312,,,,0.689540584420385,0.7058095685779193,-0.873470022058327,0.3824069391523246,4.0,10.0,0.9996732293113307,,S006,Serie negative importante,False,BRUIT
O45_CARTONS,1,628,0.6305732484076433,0.4509078267681207,0.1796654216395226,,,,0.5921366845354871,0.667422040309474,9.39035791402021,0.0,9.0,9.0,,,S022,Derby chaud -> cartons,True,SIGNAL_E1
U25,2,110,0.5272727272727272,0.49610854526151976,0.031164182011207464,0.0010909090909090595,-0.18284331350919864,0.18502513169101675,0.4346352821640567,0.6180695287310817,0.6637352626985157,0.5068597659410092,3.0,6.0,1.0,,S023,Derby + H2H under,False,BRUIT
WIN_SELF,2,35,0.37142857142857144,0.33606876032869615,0.035359811099875293,0.186,-0.43471993662008873,0.8067199366200888,0.23165607368891059,0.5366335951197893,0.46750009801290004,0.6401421219820747,0.0,0.0,1.0,,S024,Revanche de derby,False,N_TROP_FAIBLE
WIN_SELF,2,4968,0.5483091787439613,0.5415116658297788,0.006797512914182513,-0.010376409017713369,-0.03895997344453608,0.018207155409109346,0.5344383412119487,0.562105362030729,1.0299153320032066,0.3030497527981715,6.0,7.0,1.0,,S033,Domination locale H2H,False,BRUIT
DC_SELF,2*,4968,0.7759661835748792,0.7773867704821132,-0.0014205869072340116,,,,0.7641611997176653,0.7873447050561312,-0.25326206969159465,0.8000657047801889,4.0,7.0,1.0,,S033,Domination locale H2H,False,BRUIT
WIN_ADV,2,14199,0.36967392069864075,0.3667610131143223,0.002912907584318447,-0.031062046623001625,-0.05700538904817624,-0.005118704197827013,0.3617701901987688,0.377648152677068,0.7744340536263484,0.43867415217905004,6.0,10.0,0.999718290020424,,S037,Recuperation courte,False,BRUIT
TEAM_U15_SELF,1,14200,0.6220422535211267,0.6244970576350554,-0.0024548041139286214,,,,0.6140350213719878,0.6299834700761286,-0.6096076077484335,0.5421217708186314,4.0,10.0,,,S037,Recuperation courte,False,BRUIT
WIN_SELF,2,40290,0.3734921816827997,0.3730912327702424,0.00040094891255726406,-0.036231074708364355,-0.05199113909040612,-0.020471010326322592,0.36878097960422074,0.3782275061788771,0.1807017455600483,0.8566016885851868,5.0,10.0,0.9999255398361876,,S038,Recuperation longue,False,BRUIT
